"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26179","31078","26039","25317","24149","23135","22548","22571","23238","24000","24066","23216","21843","20376","18988","17807","16861","16225","16172","16405","16940","17384","17412","16715","15454","14007","12809","12380","12968","14345","16120","17958","19290","",
"Bulgaria","BGR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","573","584","589","587","582","574","565","548","524","498","471","447","427","414","405","401","396","389","376","361","340","316","291","268","244","225","210","198","193","196","199","204","",
"Bahrain","BHR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","30","31","32","34","36","38","41","43","45","46","46","45","44","48","57","64","69","71","70","66","61","59","58","57","57","58","57","56","51","48","38","35","",
"Bahamas, The","BHS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","48","50","51","53","53","53","52","51","48","47","45","44","44","45","47","48","50","53","56","58","63","67","71","72","71","69","65","60","67","50","47","44","",
"Bosnia and Herzegovina","BIH","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308","315","5854","5006","1625","502","169","178","175","166","161","156","154","154","154","151","150","146","139","133","126","120","114","108","105","103","103","102","102","98","92","84","76","",
"Belarus","BLR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1006","1062","1101","1124","1140","1152","1171","1202","1250","1299","1327","1312","1270","1229","1195","1159","1121","1072","1016","962","895","807","706","603","505","421","353","299","261","234","219","210","206","",
"Belize","BLZ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","22","25","28","32","36","40","44","47","50","51","52","53","54","55","56","58","58","59","59","60","62","64","64","65","66","66","66","65","65","64","62","61","",
"Bermuda","BMU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1583","1543","1507","1478","1444","1414","1389","1367","1346","1324","1300","1278","1256","1230","1206","1183","1166","1150","1144","1149","1158","1170","1180","1187","1191","1191","1193","1188","1185","1182","1181","1176","1168","",
"Brazil","BRA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24577","24361","24445","24850","25461","26147","26760","27206","27580","28024","28531","29036","29459","29692","29657","29458","29263","29183","29068","28760","28354","28019","27831","27780","27865","27944","27838","27502","27067","26657","26268","25895","25491","",
"Barbados","BRB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","25","24","23","23","22","21","20","20","20","19","19","19","20","21","21","21","20","19","18","18","16","16","16","15","14","14","14","13","13","13","14","14","",
"Brunei Darussalam","BRN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","32","31","30","29","28","26","25","25","25","24","24","24","25","25","25","25","25","25","24","24","23","22","22","21","20","20","20","20","20","20","21","22","",
"Bhutan","BTN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","131","125","109","103","99","97","96","94","94","96","98","102","105","109","113","115","115","116","118","119","120","122","121","121","119","116","112","108","104","101","100","98","",
"Botswana","BWA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","657","681","705","725","749","773","798","825","848","862","868","868","856","837","810","779","742","701","657","611","564","519","474","433","395","361","331","306","289","280","273","271","271","",
"Central African Republic","CAF","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1402","1439","1479","1516","1553","1587","1610","1654","1707","1779","1866","1964","2032","2126","2188","2243","2296","2318","2363","2394","2417","2437","2423","2365","2321","2230","2269","2674","2393","2449","2516","2931","2610","",
"Canada","CAN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1752","1643","1548","1472","1410","1364","1331","1311","1297","1288","1283","1279","1281","1294","1311","1318","1309","1291","1267","1248","1238","1233","1230","1227","1227","1240","1274","1325","1372","1418","1478","1546","1604","",
"Central Europe and the Baltics","CEB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8017","8482","8231","8075","7951","7864","7751","7618","7440","7201","6921","6664","6384","6123","5892","5706","5615","5584","5541","5389","5136","4817","4485","4159","3834","3528","3272","3083","2953","2876","2847","2831","2810","",
"Switzerland","CHE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532","515","493","460","425","390","356","324","299","280","266","255","248","240","232","222","211","200","191","183","173","168","161","155","151","147","146","145","144","144","143","142","139","",
"Channel Islands","CHI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1260","1244","1229","1218","1208","1199","1180","1142","1096","1058","1036","1019","1003","985","967","954","955","976","1006","1022","1011","986","959","934","918","913","910","913","927","945","964","965","961","",
"China","CHN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94223","94867","95348","94130","90750","86080","80474","75043","69765","65643","63553","63107","64185","65314","65603","65886","66492","67190","68093","69203","70155","69124","65520","61407","57357","52556","48721","46471","44442","42459","41049","40311","39392","",
