"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Equatorial Guinea","GNQ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181","183","185","188","191","196","200","205","210","216","222","231","242","254","271","290","312","334","356","374","387","394","394","392","386","382","377","372","366","361","355","340","331","",
"Greece","GRC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637","641","636","625","614","604","599","598","600","601","602","600","593","583","566","542","512","482","451","420","386","352","322","293","269","251","238","226","216","207","200","195","191","",
"Grenada","GRD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","11","11","10","10","10","10","9","8","8","7","7","7","7","7","7","9","9","9","9","9","8","8","7","7","6","6","6","6","6","6","5","5","",
"Greenland","GRL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023","2131","2210","2267","2301","2324","2346","2377","2418","2458","2506","2567","2657","2764","2871","2955","2993","2989","2952","2899","2845","2802","2783","2790","2831","2886","2919","2909","2874","2834","2811","2833","2885","",
"Guam","GUM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","142","142","144","149","154","160","163","164","160","154","148","142","136","131","125","120","117","116","119","124","131","139","146","148","145","139","131","122","124","111","107","102","",
"High income","HIC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70731","70224","68728","67040","65313","63405","61154","59057","57361","56012","55074","54508","53897","53164","52325","51449","50925","50462","49805","48745","47401","46495","44982","44277","43799","43400","43022","42800","42897","43480","44899","46884","49304","",
"Hong Kong SAR, China","HKG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011","1025","1043","1063","1085","1107","1131","1153","1699","1192","1207","1219","1227","1233","1234","1234","1232","1230","1228","1228","1229","1232","1237","1242","1247","1252","1254","1255","1255","1254","1254","1252","1246","",
"Heavily indebted poor countries (HIPC)","HPC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165041","160415","164088","172448","325108","175235","180701","178349","179629","184995","178946","178371","177733","177803","176855","176444","176377","176479","178782","177446","185026","179031","180329","181804","183762","186588","189150","192499","195118","198349","201292","204968","210704","",
"Croatia","HRV","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","437","746","493","467","428","381","323","284","260","245","237","230","226","221","215","209","202","193","182","168","154","141","129","118","110","105","102","100","99","98","95","92","87","",
"Haiti","HTI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2875","2833","2786","2744","2707","2678","2661","2657","2658","2661","2664","2663","2668","2672","2677","2684","2693","2703","2716","2725","9456","2711","2692","2655","2612","2565","2523","2496","2472","2452","2447","2437","2431","",
"Hungary","HUN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","680","691","672","635","603","587","577","570","561","544","513","481","449","418","391","372","357","342","327","311","296","282","266","259","253","247","242","235","230","228","226","226","228","",
"IBRD only","IBD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536808","533102","541184","543433","539442","539689","530007","526035","523264","524439","525929","530358","534842","539842","547155","534948","532223","527711","521268","512157","501359","487124","469101","450970","433413","416072","401615","387777","375510","364632","355712","348597","353750","",
"IDA & IBRD total","IBT","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","825132","823740","832593","844242","994459","845443","842967","838174","839256","848184","845303","849859","854457","857388","864655","852357","842195","835278","834402","817318","813518","795097","786790","768703","748129","735239","717641","706537","699139","688115","682530","682334","693823","",
"IDA total","IDA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288324","290638","291409","300809","455017","305754","312960","312139","315992","323745","319374","319501","319615","317546","317500","317409","309972","307567","313134","305161","312159","307973","317689","317733","314716","319167","316026","318760","323629","323483","326818","333737","340073","",
"IDA blend","IDB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72480","74251","76156","77678","79976","82252","84767","87164","89634","91666","93528","95620","97224","97852","98004","102475","96478","94982","93435","92427","91982","91688","91277","90906","90697","90645","90478","90329","90389","91256","92128","93875","95370","",
"Indonesia","IDN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22014","21999","21943","21932","22008","22152","22360","22637","22975","23359","23788","24173","24470","24717","34902","24802","24629","24363","24112","23835","23602","23516","23471","23313","23161","23116","23102","23120","23094","23061","22893","22682","22491","",
"IDA only","IDX","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215844","216387","215253","223131","375041","223502","228193","224975","226358","232079","225846","223881","222391","219694","219496","214934","213494","212585","219699","212734","220177","216285","226412","226827","224019","228522","225548","228431","233240","232227","234690","239862","244703","",
"Isle of Man","IMN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229419","226401","224063","222730","222181","222322","222529","222951","222856","222698","222541","222530","222359","222232","221671","220545","218593","215773","211756","206584","200521","193645","186369","178949","171455","164209","156949","149923","143103","136578","130520","125848","122687","",
"Not classified","INX","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","198","207","217","227","236","248","257","262","262","259","251","246","238","230","224","222","226","222","207","185","164","147","134","123","113","105","98","95","91","88","85","84","",
"Iran, Islamic Rep.","IRN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11067","8823","8556","8173","7480","7312","7251","7352","7631","8062","8613","9263","9995","12826","11319","12109","12924","13647","14002","13789","13028","11914","10580","9392","8463","7713","7198","6903","6705","6519","6341","6194","6114","",
"Iraq","IRQ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1986","1985","2040","2106","2227","2286","2337","2381","2419","2459","2501","2547","2587","2643","2685","2738","2784","2707","2666","2749","2815","2894","2996","3694","3265","3329","3372","3405","3441","4078","3514","3559","4179","",
"Iceland","ISL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","13","13","13","13","13","13","13","12","12","13","13","14","12","12","11","11","11","11","10","10","10","10","9","9","9","9","9","7","7","7","7","6","",
"Israel","ISR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","237","251","268","289","308","317","312","307","314","333","349","350","342","320","294","273","259","247","232","216","205","202","202","203","204","205","205","205","206","209","217","227","",
"Italy","ITA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3304","3319","3266","3128","2988","2859","2726","2587","2446","2293","2136","1999","1880","1767","1678","1589","1496","1406","1348","1289","1222","1161","1105","1052","1004","961","920","879","843","813","792","789","806","",
"Jamaica","JAM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383","377","371","364","356","349","342","334","329","327","326","328","332","336","342","348","352","356","358","360","358","356","357","358","359","362","362","358","353","347","334","323","349","",
"Jordan","JOR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","335","355","376","399","418","433","440","441","437","433","429","427","428","431","437","446","456","504","513","522","526","533","541","541","627","712","757","762","759","748","737","727","718","",
"Japan","JPN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4750","4848","4935","4937","4954","4926","4836","4693","4487","4242","4006","3785","3590","3434","3321","3240","3171","3104","3026","2924","2799","3151","2549","2418","2309","2226","2161","2123","2112","2119","2145","2189","2220","",
"Kazakhstan","KAZ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2362","2486","2676","2887","3090","3214","3287","3268","3180","3055","2934","2880","2866","2904","2999","3118","3183","3143","2996","2772","2517","2269","2037","1821","1622","1446","1302","1192","1106","1036","980","935","897","",
"Kenya","KEN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6443","6975","7497","8028","8516","9006","9435","9824","10168","10481","10782","11040","11277","11426","11517","11551","11514","11419","11255","11068","10815","10474","10105","9760","9483","9352","9276","9307","9370","9487","9631","9846","10060","",
"Kyrgyz Republic","KGZ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543","555","574","592","607","624","634","632","622","612","600","587","579","578","585","599","615","633","642","642","635","617","594","570","542","516","490","461","435","413","393","374","357","",
"Cambodia","KHM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3470","3459","3426","3503","3412","3100","2726","2321","1961","1849","1832","1905","2018","2138","2212","2222","2199","2179","2152","2095","2016","1939","1866","1795","1729","1667","1586","1494","1408","1342","1285","1267","1273","",
"Kiribati","KIR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","16","15","15","14","13","13","14","14","14","16","16","17","17","18","19","20","20","20","21","21","21","21","21","22","23","23","23","23","23","23","21","",
"St. Kitts and Nevis","KNA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","4","4","4","4","5","6","6","6","6","6","6","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8","7","7","",
"Korea, Rep.","KOR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4512","4436","4315","4230","4157","4054","3844","3492","3069","2689","2436","2293","2158","2028","1898","1784","1697","1623","1564","1505","1429","1340","1267","1215","1176","1148","1129","1124","1128","1141","1157","1150","1116","",
"Kuwait","KWT","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307","164","76","85","98","97","97","104","113","123","130","133","131","126","118","110","111","118","123","124","123","118","111","106","104","102","111","119","128","134","137","110","109","",
"Latin America & Caribbean (excluding high income)","LAC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69291","68091","67678","67663","67895","68285","68653","68944","69949","69841","70460","70857","70894","70500","69696","68889","68485","68704","69218","69634","76520","69542","68735","67876","67493","67487","67554","67641","67707","67760","67693","67555","67333","",
"Lao PDR","LAO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005","1030","1050","1074","1096","1118","1133","1149","1153","1157","1156","1159","1165","1174","1187","1197","1210","1223","1230","1230","1220","1207","1183","1149","1107","1066","1047","1034","1028","1026","1025","1023","1013","",
"Lebanon","LBN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1920","330","330","330","329","327","325","324","323","323","324","326","326","325","325","325","571","324","325","325","327","325","326","335","379","396","371","401","344","342","345","345","344","",
"Liberia","LBR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3685","752","803","846","871","848","896","908","1045","1111","1155","1167","1180","1579","1140","1136","1167","1188","1201","1212","1214","1219","1287","1281","1284","1442","1314","1335","1365","1403","1440","1493","1535","",
"Libya","LBY","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","462","453","445","442","444","449","457","467","475","482","487","507","523","535","543","545","544","528","515","505","493","480","345","341","342","342","342","345","351","356","360","363","365","",
"St. Lucia","LCA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","18","18","18","18","18","18","19","19","19","18","19","19","19","20","20","19","19","18","17","17","17","18","18","18","19","20","21","21","22","22","24","24","",
"Latin America & Caribbean","LCN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74127","73184","73034","73240","73619","74046","74365","74634","75787","76033","77198","78251","78896","78846","78163","77476","77341","77916","78750","79379","86384","79479","78756","78057","77857","77949","77973","78020","77625","76879","76419","76238","76015","",
"Least developed countries: UN classification","LDC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205203","205755","204510","212209","363948","212355","216742","213883","214638","221238","215248","213844","212889","210721","208988","206867","205721","204930","212046","205187","212770","207292","208575","208957","209824","214186","214284","217131","223091","225840","229661","235863","240122","",
"Low income","LIC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138077","132475","134790","141641","292960","143378","147369","143677","143018","148160","141562","140635","140064","138581","137976","138117","138669","139525","142407","141494","142688","146267","157752","160050","159635","165795","165171","168717","173006","170486","170911","173729","176814","",
"Liechtenstein","LIE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4503","4245","4035","3879","3759","3660","3591","3552","3532","3491","3365","3146","2883","2596","4374","2198","2147","2215","2381","2500","2398","2115","1781","1460","1217","1073","995","944","915","892","878","872","867","",
"Lower middle income","LMC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442123","443153","438804","439749","441568","444148","447275","450410","455193","458644","461972","464287","466011","466647","465087","464388","455384","449629","448073","434858","433089","416692","405728","394074","382722","371716","360617","351753","344610","339780","336442","336132","342358","",
"Low & middle income","LMY","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","804039","800918","807370","815743","963353","811080","812357","806417","805613","812550","808164","811936","816672","818434","826607","815205","805827","799933","800590","785255","783035","766315","759909","743829","725711","714502","698773","688978","682951","672986","667867","667625","675726","",
"Lesotho","LSO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569","611","656","707","765","830","906","985","1067","1143","1212","1268","1306","1327","1334","1325","1307","1293","1260","1233","1192","1137","1075","1004","935","873","826","794","776","764","749","739","732","",
"Late-demographic dividend","LTE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195904","196623","200948","204620","204049","206452","195862","189921","184743","181368","179790","179458","179651","177365","177168","172727","171144","169406","167978","165972","163745","159181","152022","144198","136911","129103","122476","117719","113538","109946","108302","105662","107527","",
"Lithuania","LTU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417","443","466","481","484","475","458","438","421","407","395","382","368","355","347","339","332","323","309","288","268","248","229","211","190","169","149","132","119","110","104","96","90","",
"Luxembourg","LUX","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","30","29","27","26","24","22","21","19","18","17","16","15","15","14","14","14","12","12","11","11","10","10","10","10","8","8","8","8","8","8","7","7","",
"Latvia","LVA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313","334","354","365","364","354","336","316","296","277","259","243","229","217","208","197","188","178","166","151","139","127","116","107","99","90","81","73","66","62","59","58","57","",
"Macao SAR, China","MAC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3202","3161","3122","3085","3051","3017","2972","2915","2853","2789","2724","2662","2609","2559","2503","2471","2422","2375","2315","2253","2192","2135","2099","2061","2035","1996","1942","1900","1864","1826","1796","1772","1754","",
"Monaco","MCO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Moldova","MDA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","459","450","545","451","453","453","446","434","419","402","385","368","353","343","336","334","334","332","325","312","293","271","250","233","220","207","195","182","168","155","145","138","134","",
"Madagascar","MDG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3805","3881","3971","4055","4129","4181","4224","4254","4279","4307","4333","4359","4387","4418","4444","4481","4527","4577","4648","4717","4797","4867","4940","5012","5101","5162","5228","5281","5317","5362","5410","5431","5459","",
"Maldives","MDV","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","27","25","23","21","21","20","19","18","18","17","17","17","17","25","19","19","21","22","24","25","25","24","24","21","20","19","18","15","14","13","11","10","",
"Middle East & North Africa","MEA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35894","31623","31171","30869","30938","30819","31122","31598","32254","33031","33948","35004","36051","39042","37469","38126","39313","40023","40654","40690","40090","41263","49385","48790","44690","46874","43087","43573","45836","41133","37989","37177","35379","",
"Mexico","MEX","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11080","11226","11324","11386","11416","11427","11353","11176","10907","10567","10230","9952","9816","9747","9674","9715","9952","10464","11207","12090","12880","13271","13003","12527","12264","12314","12658","13303","13998","14524","14827","14841","14559","",
"Marshall Islands","MHL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","7","7","6","6","5","5","5","4","4","4","4","",
"Middle income","MIC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","665962","668443","672580","674102","670393","667702","664988","662740","662595","664390","666602","671301","676608","679853","688631","677088","667158","660408","658183","643761","640347","620048","602157","583779","566076","548707","533602","520261","509945","502500","496956","493896","498912","",
"North Macedonia","MKD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","91","88","88","87","87","88","91","93","95","99","100","99","96","92","88","84","80","76","72","68","64","62","60","58","57","56","56","56","56","57","58","60","",
"Mali","MLI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2769","2812","2855","2913","2974","3049","3124","3196","3270","3360","3454","3540","3615","3671","3715","3752","3771","3788","3801","3815","3820","3838","3858","3839","3882","3936","3980","4042","4126","4227","4356","4510","5475","",
"Malta","MLT","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","13","13","13","14","15","15","15","15","14","14","13","13","13","13","12","12","12","11","11","11","11","11","11","10","10","10","10","9","9","9","9","",
"Myanmar","MMR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9613","9863","10078","10238","10388","10498","10583","10674","10715","10749","10736","10691","10580","10449","10254","10003","9643","9169","13918","8078","7564","7134","6739","6391","6073","5811","5606","5476","5359","5234","5152","5091","5036","",
"Middle East & North Africa (excluding high income)","MNA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32912","28716","28294","27922","27854","27568","27763","28096","28600","29241","30070","31108","32234","35368","33965","34764","35718","36066","36332","36084","35356","36666","44964","44551","40601","42899","39171","39687","41889","37151","33981","33576","31896","",
"Montenegro","MNE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","40","38","37","36","35","35","35","35","35","34","34","34","34","32","31","29","27","25","22","20","20","19","19","19","19","19","19","19","19","19","19","",
"Mongolia","MNG","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433","465","496","523","541","545","536","513","480","441","406","382","371","372","380","392","403","408","408","402","391","374","355","330","302","277","253","233","221","214","209","207","206","",
"Northern Mariana Islands","MNP","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4583","4748","4925","5110","5395","5830","6105","6383","6565","6721","6863","7024","7174","7375","7608","7892","8207","8551","8937","9334","9712","10070","10386","10674","10958","11270","11489","11808","12097","12370","12656","12880","13144","",
"Mauritania","MRT","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415","408","401","408","404","403","392","382","379","379","380","383","383","383","387","393","400","408","420","432","445","458","471","484","506","529","555","581","606","627","646","666","684","",
"Mauritius","MUS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","102","100","98","96","96","95","95","96","97","96","96","95","92","89","86","84","81","81","81","83","85","88","91","94","95","94","94","92","91","91","91","91","",
"Malawi","MWI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3780","4078","4383","4725","4946","5068","5449","5811","6103","6301","6439","6476","6427","6311","6144","5948","5725","5502","5291","5094","4918","4751","4608","4471","4343","4238","4161","4112","4085","4091","4145","4221","4321","",
"Malaysia","MYS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2229","2086","2003","2012","2079","2149","2178","2167","2123","2072","2058","2099","2161","2197","2202","2194","2184","2191","2226","2271","2291","2246","2192","2154","2141","2145","2147","2117","2022","1913","1864","1904","1973","",
"North America","NAC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23306","23000","22710","22336","21793","20954","19930","19175","18870","18907","19245","19846","20528","21112","21566","21854","21918","21734","21250","20627","20116","19937","20105","20543","21069","21480","21682","21836","22077","22687","24126","26548","29141","",
"Namibia","NAM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","457","478","495","514","535","559","584","611","639","664","687","705","718","722","723","719","717","718","721","725","736","752","763","773","775","765","743","722","705","687","674","666","658","",
"New Caledonia","NCL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3047","3099","3156","3230","3320","3421","3545","3680","3830","3990","4150","4307","4444","4563","4665","4759","4834","4911","4979","5053","5136","5247","5385","5538","5732","5928","6151","6368","6584","6820","7066","7273","7494","",
"Nigeria","NGA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33108","33480","33883","34352","34990","35668","36282","36881","37500","38045","38436","38770","38976","39059","39032","38922","38704","38373","38005","37723","37517","37372","37328","37394","37441","37392","37326","37340","37421","37788","38325","39201","39874","",
"Nicaragua","NIC","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","975","989","1001","1011","1019","1024","1026","1019","1139","993","977","961","944","927","910","894","885","878","872","869","866","864","861","858","852","844","834","821","805","789","773","757","742","",
"Netherlands","NLD","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649","640","628","607","578","544","513","486","468","455","445","433","416","395","376","356","342","332","326","319","315","311","306","303","300","298","296","296","300","306","315","327","338","",
"Norway","NOR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226","217","209","204","197","192","190","190","192","195","197","197","192","186","178","171","165","163","162","163","163","160","152","144","136","130","127","126","126","126","125","121","117","",
"Nepal","NPL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3522","3556","3584","3630","3629","3640","3626","3614","3607","3604","3595","3575","4486","3550","4063","3502","3474","3426","3383","3345","3316","3299","3270","3250","3233","3850","3242","3294","3332","3369","3387","3481","3556","",
"Nauru","NRU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"New Zealand","NZL","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350","348","342","329","314","298","279","260","240","223","209","200","199","202","206","206","205","202","199","198","197","195","191","186","183","183","185","184","183","184","185","184","183","",
